PATHOLOGIES,PLACEHOLDER,OBSERVATION,IMPRESSION,VARIABLES,QUESTION
simple renal cortical cyst,KIDNEYS,simple renal cortical cyst  noted in _side_1 kidney.,simple renal cortical cysts as described – Bosniak type _bosniak cysts,"side_1,no_of_1,measurement_1,kidney_pole_1,no_of_2,measurement_2,kidney_pole_2,bosniak","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Simple Renal Cortical Cyst""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""side_1"",
        ""value"": ""Side of the renal cortical cyst:"",
        ""followup"": ""true"",
        ""to_followup"": {
            ""right"": [
                {
                    ""type"": ""single choice"",
                    ""key"": ""no_of_1"",
                    ""value"": ""Number of cysts in the right kidney:"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_1"",
                    ""value"": ""Size of the largest cyst (cm):"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""multiple choice"",
                    ""key"": ""kidney_pole_1"",
                    ""value"": ""Pole of the right kidney where the largest cyst is located:"",
                    ""followup"": ""true"",
                    ""to_followup"": {
                        ""upper"": {
                            ""additional_text"": ""_no_of_1 cortical cysts are seen in _side_1 kidney, largest measuring ~ _measurement_1 cm in upper pole.""
                        },
                        ""interpolar"": {
                            ""additional_text"": ""_no_of_1 cortical cysts are seen in _side_1 kidney, largest measuring ~ _measurement_1 cm in interpolar region.""
                        },
                        ""lower"": {
                            ""additional_text"": ""_no_of_1 cortical cysts are seen in _side_1 kidney, largest measuring ~ _measurement_1 cm in lower pole.""
                        }
                    }
                }
            ],
            ""left"": [
                {
                    ""type"": ""single choice"",
                    ""key"": ""no_of_1"",
                    ""value"": ""Number of cysts in the left kidney:"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_1"",
                    ""value"": ""Size of the largest cyst (cm):"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""multiple choice"",
                    ""key"": ""kidney_pole_1"",
                    ""value"": ""Pole of the left kidney where the largest cyst is located:"",
                    ""followup"": ""true"",
                    ""to_followup"": {
                        ""upper"": {
                            ""additional_text"": ""_no_of_1 cortical cysts are seen in _side_1 kidney, largest measuring ~ _measurement_1 cm in upper pole.""
                        },
                        ""interpolar"": {
                            ""additional_text"": ""_no_of_1 cortical cysts are seen in _side_1 kidney, largest measuring ~ _measurement_1 cm in interpolar region.""
                        },
                        ""lower"": {
                            ""additional_text"": ""_no_of_1 cortical cysts are seen in _side_1 kidney, largest measuring ~ _measurement_1 cm in lower pole.""
                        }
                    }
                }
            ],
            ""bilateral"": [
                {
                    ""type"": ""single choice"",
                    ""key"": ""no_of_1"",
                    ""value"": ""Number of cysts in the right kidney:"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_1"",
                    ""value"": ""Size of the largest cyst in the right kidney (cm):"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""multiple choice"",
                    ""key"": ""kidney_pole_1"",
                    ""value"": ""Pole of the right kidney where the largest cyst is located:"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""single choice"",
                    ""key"": ""no_of_2"",
                    ""value"": ""Number of cysts in the left kidney:"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_2"",
                    ""value"": ""Size of the largest cyst in the left kidney (cm):"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""multiple choice"",
                    ""key"": ""kidney_pole_2"",
                    ""value"": ""Pole of the left kidney where the largest cyst is located :"",
                    ""followup"": ""true"",
                    ""to_followup"": {
                        ""upper"": {
                            ""additional_text"": ""_no_of_1 cortical cysts are seen in right kidney, largest measuring ~ _measurement_1 cm in _kidney_pole_1 pole. _no_of_2 cortical cysts are seen in left kidney, largest measuring ~ _measurement_2 cm in _kidney_pole_2 pole.""
                        },
                        ""interpolar"": {
                            ""additional_text"": ""_no_of_1 cortical cysts are seen in right kidney, largest measuring ~ _measurement_1 cm in _kidney_pole_1 pole. _no_of_2 cortical cysts are seen in left kidney, largest measuring ~ _measurement_2 cm in _kidney_pole_2 pole.""
                        },
                        ""lower"": {
                            ""additional_text"": ""_no_of_1 cortical cysts are seen in right kidney, largest measuring ~ _measurement_1 cm in _kidney_pole_1 pole. _no_of_2 cortical cysts are seen in left kidney, largest measuring ~ _measurement_2 cm in _kidney_pole_2 pole.""
                        }
                    }
                }
            ]
        }
    },
    {
        ""type"": ""single choice"",
        ""key"": ""bosniak"",
        ""value"": ""Bosniak classification type for the cysts: "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]"
splenomegaly,SPLEEN,_level_1 splenomegaly (~_measurement_1 cm) with normal echotexture.,_level_1 splenomegaly.,"level_1,measurement_1","[
  {
    ""type"": ""heading"",
    ""key"": """",
    ""value"": ""Splenomegaly""
  },
  {
    ""type"": ""single choice"",
    ""key"": ""level_1"",
    ""place_holder"": ""false"",
    ""value"": ""Level of splenomegaly"",
    ""followup"": ""false"",
    ""to_followup"": ""NA""
  },
  {
    ""type"": ""input box"",
    ""key"": ""measurement_1"",
    ""place_holder"": ""false"",
    ""value"": ""Size of splenomegaly (cm)"",
    ""followup"": ""false"",
    ""to_followup"": ""NA""
  }
]
"
subcentimetric mesenteric lymph nodes,RIF,"Few subcentimetric mesenteric lymph nodes noted, largest measuring ~ _measurement_1 mm in right iliac fossa.",,measurement_1,"[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Subcentimetric Mesenteric Lymph Nodes""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_1"",
        ""value"": ""Measurement of the largest lymph node (mm):"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]
"
subcentimetric para aortic and mesenteric lymph nodes,PARA AORTIC AREA,"Few subcentimetric para aortic and mesenteric lymph nodes noted, largest measuring ~ _measurement_1 mm in peri umbilical region.",,measurement_1,"[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Subcentimetric Para-Aortic and Mesenteric Lymph Nodes""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_1"",
        ""value"": ""Measurement of the largest lymph node (mm):"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]
"
subserosal fibroid,UTERUS,A well-defined hypoechoic lesion measuring ~ _measurement_1 cm is seen along the _uterus_location – Likely subserosal fibroid.,_uterus_location subserosal fibroid as described.,"measurement_1,uterus_location","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Subserosal Fibroid""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_1"",
        ""value"": ""Measurement of the fibroid (cm):"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""uterus_location"",
        ""value"": ""Location of the fibroid along the uterus:"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]
"
thinning of abdominal wall,OTHER,Mild diffuse thinning of _location_1 anterior abdominal wall with no obvious focal defect.,,location_1,"[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Thinning of Abdominal Wall""
    },
    {
        ""type"": ""multiple choice"",
        ""key"": ""location_1"",
        ""value"": ""Location of the thinning in the anterior abdominal wall:"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]
"
trabaculations,URINARY BLADDER,Few small out-pouchings noted through the bladder wall – ? trabaculations.,,,
tubo-ovarian cystic complex,OVARIES,A well-defined thin walled loculated cystic lesion seen in _side_1 adnexa,_side_1 adnexal cystic lesion showing thin internal septations as described – Likely tubo-ovarian cystic complex.,"side_1,measurement_1,measurement_2,yes_no_1,echos","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""tubo-ovarian cystic complex""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""side_1"",
        ""value"": ""Side of the lesion:"",
        ""followup"": ""true"",
        ""to_followup"": {
            ""right"": [
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_1"",
                    ""value"": ""Size of the lesion (cm):"",
                    ""followup"": ""true"",
                    ""to_followup"": {
                        ""measurement_1"": {
                            ""additional_text"": ""measuring ~ _measurement_1 cm, showing thin incomplete internal septations within. left ovary are not separately visualized.""
                        }
                    }
                }
            ],
            ""left"": [
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_1"",
                    ""value"": ""Size of the lesion (cm):"",
                    ""followup"": ""true"",
                    ""to_followup"": {
                        ""measurement_1"": {
                            ""additional_text"": ""measuring ~ _measurement_1 cm, showing thin incomplete internal septations within. right ovary are not separately visualized.""
                        }
                    }
                }
            ],
            ""bilateral"": [
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_1"",
                    ""value"": ""Size of the right lesion (cm):"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_2"",
                    ""value"": ""Size of the left lesion (cm):"",
                    ""followup"": ""true"",
                    ""to_followup"": {
                        ""measurement_2"": {
                            ""additional_text"": ""measuring ~ _measurement_1 cm in right adnexa, and ~ _measurement_2 cm in left adnexa, showing thin incomplete internal septations within.""
                        }
                    }
                }
            ]
        }
    },
    {
        ""type"": ""single choice"",
        ""key"": ""yes_no_1"",
        ""value"": ""Does the lesion extend to the uterus?"",
        ""followup"": ""true"",
        ""to_followup"": {
            ""yes"": {
                ""additional_text"": "" Lesion extending posterior to the uterus.""
            },
            ""no"": {
                ""additional_text"": ""__mandate__""
            }
        }
    },
    {
        ""type"": ""single choice"",
        ""key"": ""echos"",
        ""value"": ""Is the lesion showing coarse or fine echoes within?"",
        ""followup"": ""true"",
        ""to_followup"": {
            ""coarse"": {
                ""additional_text"": ""showing coarse internal echoes within.""
            },
            ""fine"": {
                ""additional_text"": ""showing fine internal echoes within.""
            },
            ""no echoes"": ""__mandate__""
        }
    }
]"
tubo-ovarian endometriotic complex,OVARIES,Loculated cystic lesions are seen in _side_1 adnexa showing incomplete internal echogenic septations,A thick walled loculated cystic lesion in _side_1 adnexa as described – To consider possibility of tubo-ovarian endometriotic complex.,"side_1,measurement_1,measurement_2,yes_no_1","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Tubo-Ovarian Endometriotic Complex""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""side_1"",
        ""value"": ""Side of the adnexa where lesions are seen:"",
        ""followup"": ""true"",
        ""to_followup"": {
            ""right"": [
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_1"",
                    ""value"": ""Size of the largest cyst (cm):"",
                    ""followup"": ""true"",
                    ""to_followup"": {
                        ""measurement_1"": {
                            ""additional_text"": ""with largest cyst measuring ~ _measurement_1 cm – showing coarse internal echoes within.""
                        }
                    }
                }
            ],
            ""left"": [
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_1"",
                    ""value"": ""Size of the largest cyst (cm):"",
                    ""followup"": ""true"",
                    ""to_followup"": {
                        ""measurement_1"": {
                            ""additional_text"": ""largest cyst measuring ~ _measurement_1 cm – showing coarse internal echoes within.""
                        }
                    }
                }
            ],
            ""bilateral"": [
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_1"",
                    ""value"": ""Size of the largest cyst on the right (cm):"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_2"",
                    ""value"": ""Size of the largest cyst on the left (cm):"",
                    ""followup"": ""true"",
                    ""to_followup"": {
                        ""measurement_2"": {
                            ""additional_text"": "" largest cyst measuring ~ _measurement_1 cm in right adnexa and in left adnexa with largest cyst measuring ~ _measurement_2 cm – showing coarse internal echoes within.""
                        }
                    }
                }
            ]
        }
    },
    {
        ""type"": ""single choice"",
        ""key"": ""yes_no_1"",
        ""value"": ""Does the lesion extend to the uterus?: "",
        ""followup"": ""true"",
        ""to_followup"": {
            ""yes"": {
                ""additional_text"": ""extending posterior to the uterus.""
            },
            ""no"": ""__mandate__""
        }
    }
]"
umbilical hernia,OTHER,Anterior abdominal wall defect measuring ~ _measurement_1 mm is seen at the umbilicus showing herniation of _herniated_content as content ~ Likely suggestive of _umbilical_type hernia.,_umbilical_type hernia as described.,"measurement_1,herniated_content,yes_no_1,yes_no_2,umbilical_type","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Umbilical Hernia""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_1"",
        ""value"": ""Measurement of the abdominal wall defect (mm):"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""multiple choice"",
        ""key"": ""herniated_content"",
        ""value"": ""Content of the herniation:"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""umbilical_type"",
        ""value"": ""Type of umbilical hernia:"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""yes_no_1"",
        ""value"": ""Are there inflammatory changes of the herniated fat?"",
        ""followup"": ""true"",
        ""to_followup"": {
            ""yes"": {
                ""additional_text"": ""Minimal inflammatory changes of herniated fat noted.""
            },
            ""no"": ""__mandate__""
        }
    },
    {
        ""type"": ""single choice"",
        ""key"": ""yes_no_2"",
        ""value"": ""Is there a feature of incarceration?"",
        ""followup"": ""true"",
        ""to_followup"": {
            ""yes"": {
                ""additional_text"": ""Feature of incarceration.""
            },
            ""no"": ""__mandate__""
        }
    }
]
"
uncomplicated inguinal hernia,OTHER,A defect measuring ~ _measurement_1 mm is seen corresponding to _side_1 superficial inguinal ring – showing herniation of _herniated_content.,"_side_1 incomplete uncomplicated inguinal hernia as described.
","measurement_1,side_1,herniated_content,yes_no_1,yes_no_2,type_1","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Uncomplicated Inguinal Hernia""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_1"",
        ""value"": ""Measurement of the defect (mm): "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""side_1"",
        ""value"": ""Side of the inguinal ring showing defect"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""multiple choice"",
        ""key"": ""herniated_content"",
        ""value"": ""Content herniated through the inguinal ring"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""yes_no_1"",
        ""value"": ""Bowel loops are herniated?: "",
        ""followup"": ""true"",
        ""to_followup"": {
            ""yes"": {
                ""additional_text"": ""Herniated bowel loops are normal in calibre and vascularity.""
            },
            ""no"": ""NA""
        }
    },
    {
        ""type"": ""single choice"",
        ""key"": ""yes_no_2"",
        ""value"": ""Extension of defect: "",
        ""followup"": ""true"",
        ""to_followup"": {
            ""yes"": [{
                ""type"": ""input box"",
                ""key"": ""type_1"",
                ""value"": ""Defect extended to: "",
                ""followup"": ""true"",
                ""to_followup"": {
                    ""type_1"": {
                        ""additional_text"": ""Herniation extending up to _type_1.""
                    }
                }
            }],
            ""no"": ""NA""
        }
    }
]
"
undescended / retractile testis,PROSTATE,_side_1 testis not visualized.,_side_1 testis is not visualized in hemiscrotum. Likely undescended / retractile testis. Suggested clinical correlation.,side_1,"[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Undescended / Retractile Testis""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""side_1"",
        ""value"": ""Side of the testis not visualized:"",
        ""followup"": ""true"",
        ""to_followup"": {
            ""right"": {
                ""additional_text"": ""Normal left testis in left hemiscrotum – showing maintained size, echotexture, and vascularity. Right testis is not visualized in right hemiscrotum. An ovoid hyperechoic focus is seen in the distal right inguinal canal – Likely undescended / retractile right testis.""
            },
            ""left"": {
                ""additional_text"": ""Normal right testis in right hemiscrotum – showing maintained size, echotexture, and vascularity. Left testis is not visualized in left hemiscrotum. An ovoid hyperechoic focus is seen in the distal left inguinal canal – Likely undescended / retractile left testis.""
            },
            ""bilateral"": {
                ""additional_text"": ""Both testis are not visualized in bilateral hemiscrotum. An ovoid hyperechoic focus is seen in the distal left and right inguinal canals – Likely undescended / retractile bilateral testis.""
            }
        }
    }
]
"
urachal cyst,OTHER,A well-defined cystic lesion measuring ~ _measurement_1 cm is seen at the _urachus_location showing no demonstrable intra-abdominal communication. No associated inflammatory changes.,A well-defined cystic lesion at the _urachus_location showing no evident intra-abdominal communication – ? Urachal cyst.,"measurement_1,urachus_location","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Urachal Cyst""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_1"",
        ""value"": ""Measurement of the cystic lesion (cm):"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""urachus_location"",
        ""value"": ""Location of the cystic lesion in the urachus:"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]
"
ureteric calculus,KIDNEYS,"A  _side_1 ureteric calculus, ",_side_1 ureteric calculus resulting in upstream hydroureteronephrosis.,"side_1,measurement_1,location_1,level_1,measurement_2,location_2,level_2,yes_no_1,size_1","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Ureteric Calculus""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""side_1"",
        ""value"": ""Side of the ureteric calculus:"",
        ""followup"": ""true"",
        ""to_followup"": {
            ""right"": [
                {
                    ""type"": ""multiple choice"",
                    ""key"": ""location_1"",
                    ""value"": ""Location of the calculus in the ureter:"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""single choice"",
                    ""key"": ""level_1"",
                    ""value"": ""Level of hydroureteronephrosis:"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_1"",
                    ""value"": ""Measurement of the calculus (mm):"",
                    ""followup"": ""true"",
                    ""to_followup"": {
                        ""measurement_1"": {
                            ""additional_text"": ""measuring ~ _measurement_1 mm is seen in _side_1 _location_1 ureter, resulting in upstream _level_1 hydroureteronephrosis.""
                        }
                    }
                }
            ],
            ""left"": [
                {
                    ""type"": ""multiple choice"",
                    ""key"": ""location_1"",
                    ""value"": ""Location of the calculus in the ureter:"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""single choice"",
                    ""key"": ""level_1"",
                    ""value"": ""Level of hydroureteronephrosis:"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_1"",
                    ""value"": ""Measurement of the calculus (mm):"",
                    ""followup"": ""true"",
                    ""to_followup"": {
                        ""measurement_1"": {
                            ""additional_text"": ""measuring ~ _measurement_1 mm is seen in _side_1 _location_1 ureter, resulting in upstream _level_1 hydroureteronephrosis.""
                        }
                    }
                }
            ],
            ""bilateral"": [
                {
                    ""type"": ""single choice"",
                    ""key"": ""level_1"",
                    ""value"": ""Level of hydroureteronephrosis on bilateral side:"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_1"",
                    ""value"": ""Measurement of the right ureteric calculus (mm):"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""multiple choice"",
                    ""key"": ""location_1"",
                    ""value"": ""Location of the right ureteric calculus in the ureter:"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""multiple choice"",
                    ""key"": ""location_2"",
                    ""value"": ""Location of the left ureteric calculus in the ureter:"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_2"",
                    ""value"": ""Measurement of the left ureteric calculus (mm):"",
                    ""followup"": ""true"",
                    ""to_followup"": {
                        ""measurement_2"": {
                            ""additional_text"": ""measuring ~ _measurement_1 mm in right _location_1 ureter and ~ _measurement_2 mm in left _location_2 ureter, resulting in upstream _level_1 hydroureteronephrosis.""
                        }
                    }
                }
            ]
        }
    }
]"
urethral calculus,PROSTATE,A hyperechoic focus measuring ~ _measurement_1 mm is seen in _urethra prostatic urethra.,Urethral calculus as described.,"measurement_1,urethra","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Urethral Calculus""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_1"",
        ""value"": ""Measurement of the calculus (mm):"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""urethra"",
        ""value"": ""Location in the urethra:"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]
"
urinary bladder wall thickening,URINARY BLADDER,showing diffuse wall thickening (~ _measurement_1 mm).,Diffuse urinary bladder wall thickening – Likely reactionary.,measurement_1,"[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Urinary Bladder Wall Thickening""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_1"",
        ""value"": ""Measurement of the bladder wall thickening (mm):"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]
"
uterine fibroid,UTERUS,A well-defined heterogeneously hypoechoic lesion measuring ~ _measurement_1 cm is seen in _uterus_location.,_uterus_location uterine fibroid as described.,"measurement_1,uterus_location","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Uterine Fibroid""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_1"",
        ""value"": ""Measurement of the fibroid (cm): "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""uterus_location"",
        ""value"": ""Location of the uterine fibroid"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]
"
vesical calculus,URINARY BLADDER,A calculus measuring ~ _measurement_1 cm is seen within.,Vesical calculus as described.,measurement_1,"[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Vesical Calculus""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_1"",
        ""value"": ""Measurement of the calculus (cm):"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]
"
vuj calculus,URINARY BLADDER,A calculus noted in _side_1 VUJ.,_side_1 VUJ calculus resulting in upstream hydroureteronephrosis.,"side_1,measurement_1,measurement_2","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""VUJ Calculus""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""side_1"",
        ""value"": ""Side of the kidney with the calculus:"",
        ""followup"": ""true"",
        ""to_followup"": {
            ""right"": [
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_1"",
                    ""value"": ""Measurement of the calculus (mm):"",
                    ""followup"": ""true"",
                    ""to_followup"": {
                        ""measurement_1"": {
                            ""additional_text"": ""A calculus measuring ~ _measurement_1 mm is seen corresponding to _side_1 VUJ.""
                        }
                    }
                }
            ],
            ""left"": [
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_1"",
                    ""value"": ""Measurement of the calculus (mm):"",
                    ""followup"": ""true"",
                    ""to_followup"": {
                        ""measurement_1"": {
                            ""additional_text"": ""A calculus measuring ~ _measurement_1 mm is seen corresponding to _side_1 VUJ.""
                        }
                    }
                }
            ],
            ""bilateral"": [
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_1"",
                    ""value"": ""Measurement of the calculus in the right side (mm):"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_2"",
                    ""value"": ""Measurement of the calculus in the left side (mm):"",
                    ""followup"": ""true"",
                    ""to_followup"": {
                        ""measurement_2"": {
                            ""additional_text"": ""A calculus measuring ~ _measurement_1 mm is seen corresponding to right VUJ. A calculus measuring ~ _measurement_2 mm is seen corresponding to left VUJ.""
                        }
                    }
                }
            ]
        }
    }
]"
cholangiocarcinoma,LIVER,"A well-defined homogeneously hypodense lesion, measuring ~_size_1 cm (CC x AP x TR), is seen in segment _segment_1 of the liver, showing delayed enhancement with capsular retraction. There is dilatation of the bile ducts distal to the mass.",Features are likely suggestive of <b>mass forming</b> cholangiocarcinoma.,"size_1,segment_1,infiltration,size_2,side_1","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Cholangiocarcinoma""
    },
    {
        ""type"": ""input box"",
        ""key"": ""size_1"",
        ""place_holder"": ""false"",
        ""value"": ""Size of the lesion (CC x AP x TR) (cm)"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""multiple choice"",
        ""key"": ""segment_1"",
        ""place_holder"": ""false"",
        ""value"": ""Segment involved"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""infiltration"",
        ""value"": ""Adjacent infiltration of cholangiocarcinoma :"",
        ""followup"": ""true"",
        ""to_followup"": {
            ""Intraductal infiltration"": [
                {
                    ""type"": ""input box"",
                    ""key"": ""size_2"",
                    ""value"": ""Measurement of the mass lesion(cm): "",
                    ""followup"": ""true"",
                    ""to_followup"": {
                        ""size_2"": {
                            ""additional_text"": ""Intraductal: There is dilatation of the duct with a polypoid hypoattenuating mass measuring  ~_size_2 cm (CC x AP x TR) showing heterogeneous contrast enhancement with upstream IHBRD.""
                        }
                    }
                }
            ],
            ""Periductal infiltration"": [
                {
                    ""type"": ""single choice"",
                    ""key"": ""side_1"",
                    ""value"": ""Duct wall thickening extended side of the hepatic duct: "",
                    ""followup"": ""true"",
                    ""to_followup"": {
                        ""right"": {
                            ""additional_text"": ""Periductal infiltrating: Areas of heterogeneously enhancing duct wall thickening with associated luminal narrowing is seen at the hepatic hilum extending into the _side_1 hepatic duct with associated lobar IHBRD""
                        },
                        ""left"": {
                            ""additional_text"": ""Periductal infiltrating: Areas of heterogeneously enhancing duct wall thickening with associated luminal narrowing is seen at the hepatic hilum extending into the _side_1 hepatic duct with associated lobar IHBRD""
                        },
                        ""bilateral"": {
                            ""additional_text"": ""Periductal infiltrating: Areas of heterogeneously enhancing duct wall thickening with associated luminal narrowing is seen at the hepatic hilum extending into _side_1 hepatic duct with associated lobar IHBRD""
                        }
                    }
                }
            ]
        }
    }
]"
